Date,Day1Volume,Day1Open,Day1High,Day1Low,Day2Volume,Day2Open,Day2High,Day2Low,Day3Volume,Day3Open,Day3High,Day3Low,Target
12/11/18,42704910.0,171.76,174.78,170.42,41678680.0,173.49,174.49,168.3,61759000.0,165.0,170.09,163.33,171.66
06/16/2017,34089190.0,147.16,147.45,145.15,31454590.0,147.5,147.5,143.84,31642900.0,143.32,144.48,142.21,143.78
11/15/2018,50991030.0,199.0,199.85,193.79,46725710.0,191.63,197.18,191.45,60547340.0,193.9,194.48,185.93,188.39
08/17/2018,20679270.0,210.16,210.56,208.26,28595230.0,209.22,210.74,208.33,27595310.0,211.75,213.81,211.47,213.44
08/02/18,20912890.0,191.9,192.2,189.07,37847260.0,190.3,192.14,189.34,67812280.0,199.13,201.76,197.31,200.58
05/13/2019,26339500.0,201.9,205.34,201.75,34908610.0,200.4,201.68,196.66,41208710.0,197.42,198.85,192.77,187.71
06/27/2018,27185130.0,186.12,186.15,184.7,31632320.0,183.4,184.92,180.73,24378480.0,182.99,186.53,182.54,185.23
08/15/2018,24592460.0,207.36,209.1,206.67,25864510.0,207.7,210.95,207.7,20679270.0,210.16,210.56,208.26,209.22
12/24/2019,24626950.0,279.5,281.18,278.95,69032740.0,282.23,282.65,278.56,24677880.0,280.53,284.25,280.37,284.69
02/02/16,55622370.0,93.79,94.52,92.39,64332440.0,94.79,97.34,94.35,40814360.0,96.47,96.71,95.4,95.42
05/28/2020,20450750.0,315.77,319.23,315.35,31380450.0,323.5,324.24,316.5,28236270.0,316.14,318.71,313.09,316.77
10/25/2019,22684000.0,241.16,242.2,239.62,19932550.0,242.1,243.24,241.22,17916260.0,244.51,244.8,241.81,243.16
01/22/2020,27207250.0,313.59,315.7,312.09,34454120.0,316.27,318.74,315.0,27710810.0,317.19,319.02,316.0,318.58
07/19/2019,16866820.0,204.59,206.11,203.5,14107450.0,204.05,205.09,203.27,18582160.0,204.0,205.88,203.7,205.79
07/19/2017,20117070.0,147.97,149.33,147.33,23765710.0,148.82,150.9,148.57,17837130.0,149.2,150.13,148.67,150.48
07/14/2016,23317990.0,96.75,97.65,96.73,24129530.0,97.17,97.7,97.12,25879680.0,97.41,97.67,96.84,97.39
01/22/2019,30483120.0,153.08,155.88,153.0,29616190.0,154.2,157.66,153.26,33259460.0,157.5,157.88,155.98,156.41
07/08/16,27553750.0,95.39,95.4,94.46,30877540.0,94.6,95.66,94.37,24460850.0,95.7,96.5,95.62,96.49
01/10/18,23589930.0,173.44,175.37,173.05,20523870.0,174.35,175.61,173.93,21532200.0,174.55,175.06,173.41,173.16
06/04/19,21218410.0,177.95,179.23,176.67,27043580.0,176.23,177.99,174.99,40396070.0,175.6,177.92,170.27,175.44
10/28/2015,59251740.0,116.7,119.23,116.33,66139770.0,118.08,118.13,114.92,67673450.0,115.4,116.54,113.99,116.93
03/29/2019,49696100.0,191.66,192.88,184.58,29771210.0,188.75,189.76,186.55,20710390.0,188.95,189.56,187.53,189.83
04/13/2017,18904680.0,143.6,143.88,142.9,30341520.0,142.94,143.35,140.06,20320420.0,141.6,142.15,141.01,141.91
11/16/2015,45179400.0,116.37,117.42,115.21,32461350.0,116.26,116.82,115.65,45555300.0,115.2,115.57,112.27,111.38
06/28/2016,32042290.0,95.94,96.29,95.25,75219710.0,92.91,94.66,92.65,45595680.0,93.0,93.05,91.5,92.9
09/12/17,21905160.0,162.09,162.24,160.36,28411740.0,160.86,161.15,158.53,31506890.0,160.5,162.05,159.89,162.61
10/09/18,31961120.0,230.78,232.35,226.73,33507770.0,227.96,228.41,220.58,28784550.0,222.21,224.8,220.2,223.64
09/17/2019,32226670.0,224.8,226.42,222.86,39763300.0,220.0,220.79,217.02,21158140.0,217.73,220.13,217.56,219.96
08/08/16,30148360.0,104.81,105.84,104.77,26781730.0,105.58,106.0,105.28,39546610.0,106.27,107.65,106.18,107.52
11/29/2016,27420550.0,111.36,111.51,110.33,11475920.0,111.13,111.87,110.95,27054320.0,111.43,112.47,111.39,110.78
07/15/2015,61292800.0,121.94,123.85,121.21,41365600.0,125.03,125.76,124.32,31695870.0,126.04,126.37,125.04,125.72
03/23/2017,21258100.0,140.4,141.5,140.23,39461130.0,142.11,142.8,139.73,25804820.0,139.85,141.6,139.76,141.26
07/11/16,30877540.0,94.6,95.66,94.37,24460850.0,95.7,96.5,95.62,28877500.0,96.49,96.89,96.05,96.75
03/10/17,17439210.0,139.06,139.98,138.79,18695500.0,138.95,139.8,138.82,22117750.0,138.74,138.79,137.05,139.25
10/26/2015,42276880.0,114.0,115.58,113.7,41430660.0,114.33,115.5,114.1,59251740.0,116.7,119.23,116.33,118.08
03/27/2019,42287640.0,195.34,197.69,190.78,43751810.0,191.51,191.98,186.6,49696100.0,191.66,192.88,184.58,188.75
06/01/16,56293490.0,99.68,100.73,98.64,36299460.0,99.44,100.47,99.25,42268040.0,99.6,100.4,98.82,99.02
02/05/18,32234520.0,166.87,168.44,166.5,44453230.0,167.17,168.62,166.76,85957050.0,166.0,166.8,160.1,159.1
07/27/2017,21466370.0,150.58,152.44,149.9,18798250.0,151.8,153.84,151.8,15649120.0,153.35,153.93,153.06,153.75
06/13/2018,26580710.0,191.17,192.0,189.77,18069930.0,191.35,191.97,190.21,16859020.0,191.39,192.61,191.15,192.42
09/14/2018,35644510.0,218.01,224.3,216.56,49118510.0,224.94,225.0,219.84,41411350.0,223.52,228.35,222.57,225.75
01/12/18,21532200.0,174.55,175.06,173.41,23751690.0,173.16,174.3,173.0,18653380.0,174.59,175.49,174.49,176.18
06/12/17,21017560.0,155.02,155.98,154.48,21144040.0,155.25,155.54,154.4,64782910.0,155.19,155.19,146.02,145.74
07/28/2015,50832950.0,126.2,127.09,125.06,42090320.0,125.32,125.74,123.9,44371580.0,123.09,123.61,122.12,123.38
08/16/2016,27460070.0,108.52,108.93,107.85,18648700.0,107.78,108.44,107.78,25704330.0,108.14,109.54,108.08,109.63
04/19/2016,25364920.0,111.62,112.39,111.33,46873670.0,112.11,112.3,109.73,60784920.0,108.89,108.95,106.94,107.88
04/11/18,34949690.0,170.97,172.48,168.2,28976200.0,169.88,173.09,169.85,28567110.0,173.0,174.0,171.53,172.23
08/10/17,21827400.0,157.06,158.92,156.67,36127490.0,158.6,161.83,158.27,26060430.0,159.26,161.27,159.11,159.9
04/12/18,28976200.0,169.88,173.09,169.85,28567110.0,173.0,174.0,171.53,22401040.0,172.23,173.92,171.7,173.41
03/02/20,49678430.0,286.53,297.88,286.5,80151380.0,281.1,286.0,272.96,106721200.0,257.26,278.41,256.37,282.28
11/21/2017,23598650.0,171.18,171.87,170.3,21884010.0,171.04,171.39,169.64,16041550.0,170.29,170.56,169.56,170.78
09/04/18,27074260.0,220.15,223.49,219.41,48696960.0,223.25,228.26,222.4,43177540.0,226.51,228.87,226.0,228.41
09/16/2015,49793750.0,111.79,114.21,111.76,58279570.0,116.58,116.89,114.86,43218350.0,115.93,116.53,114.42,116.25
07/31/2018,19005150.0,194.61,195.96,193.61,23975350.0,194.99,195.19,190.1,20912890.0,191.9,192.2,189.07,190.3
06/15/2016,31672220.0,98.53,99.35,98.48,37708360.0,98.69,99.12,97.1,31890740.0,97.32,98.48,96.75,97.82
08/29/2017,19782170.0,160.43,160.74,158.55,25184600.0,159.65,160.56,159.27,25649890.0,160.14,162.0,159.93,160.1
04/05/18,37425640.0,167.88,168.94,164.47,30237640.0,167.64,168.75,164.88,34581850.0,164.88,172.01,164.77,172.58
01/23/2017,23687350.0,120.0,120.5,119.71,25554290.0,119.4,120.09,119.37,29922650.0,120.45,120.45,119.73,120.0
02/14/2019,20940020.0,171.05,171.21,169.25,22224400.0,170.1,171.0,169.7,22389660.0,171.39,172.48,169.92,169.71
01/09/20,29644640.0,293.79,299.96,292.75,27877660.0,299.84,300.9,297.48,33090950.0,297.16,304.44,297.16,307.24
01/19/2018,29512410.0,177.9,179.39,176.14,34260230.0,176.15,179.25,175.07,31087330.0,179.37,180.1,178.25,178.61
09/28/2015,35678360.0,113.63,114.72,113.3,50061580.0,113.25,115.5,112.37,56005550.0,116.44,116.69,114.02,113.85
03/06/17,36362440.0,137.89,140.15,137.6,26170690.0,140.0,140.28,138.76,21555370.0,138.78,139.83,138.59,139.37
09/24/2015,46594220.0,113.67,115.37,113.66,50278030.0,113.38,114.18,112.52,35678360.0,113.63,114.72,113.3,113.25
11/17/2016,50901380.0,107.71,107.81,104.08,32230590.0,106.57,107.68,106.16,58724080.0,106.7,110.23,106.6,109.81
01/21/2016,79356010.0,96.2,97.71,95.36,52960810.0,98.41,98.65,95.5,72274300.0,95.1,98.19,93.42,97.06
09/21/2018,31495630.0,217.79,221.85,217.12,26869880.0,218.5,219.62,215.3,26388050.0,220.24,222.28,219.15,220.78
11/16/2017,16956290.0,173.5,174.5,173.4,24683350.0,173.04,173.48,171.18,28998220.0,169.97,170.32,168.38,171.18
11/04/19,31130520.0,244.76,245.3,241.21,34790520.0,247.24,249.17,237.26,37781330.0,249.54,255.93,249.16,257.33
10/19/2017,24093300.0,157.9,160.0,157.65,18969700.0,159.78,160.87,159.23,16252850.0,160.42,160.71,159.6,156.75
07/18/2017,25080500.0,145.5,148.49,145.44,20117070.0,147.97,149.33,147.33,23765710.0,148.82,150.9,148.57,149.2
06/07/19,30967960.0,175.44,179.83,174.52,29773430.0,184.28,184.99,181.14,22526310.0,183.08,185.47,182.15,186.51
09/16/2016,62080160.0,107.51,108.79,107.24,111186900.0,108.73,113.03,108.6,90398170.0,113.86,115.73,113.49,115.12
04/21/2016,60784920.0,108.89,108.95,106.94,32340620.0,107.88,108.0,106.23,30576980.0,106.64,108.09,106.06,106.93
12/15/2016,26176690.0,113.29,115.0,112.49,43293350.0,113.84,115.92,113.75,33962370.0,115.04,116.2,114.98,115.38
03/15/2018,32191070.0,180.29,182.39,180.21,31464170.0,182.59,183.5,179.24,29334630.0,180.32,180.52,177.81,178.5
09/26/2018,95584080.0,220.78,221.36,217.29,27581270.0,216.82,221.26,216.63,22811140.0,219.75,222.82,219.7,221.0
03/17/2016,25058280.0,101.91,102.91,101.78,40026250.0,103.96,105.18,103.85,38236730.0,104.61,106.31,104.59,105.52
05/09/19,32443110.0,204.29,208.84,203.5,38763700.0,205.88,207.42,200.83,26339500.0,201.9,205.34,201.75,200.4
07/22/2019,14107450.0,204.05,205.09,203.27,18582160.0,204.0,205.88,203.7,20929310.0,205.79,206.5,202.36,203.65
03/29/2017,22355140.0,141.5,141.74,140.35,23531670.0,139.39,141.22,138.62,33348400.0,140.91,144.04,140.62,143.68
02/02/17,30327110.0,120.93,121.63,120.66,47767760.0,121.15,121.39,120.62,111837300.0,127.03,130.49,127.01,127.98
06/19/2020,41357180.0,351.46,353.2,344.72,28601630.0,355.15,355.4,351.09,24205100.0,351.41,353.45,349.22,354.64
10/19/2015,44434220.0,111.29,111.52,109.56,37622200.0,110.93,112.1,110.49,38794930.0,111.78,112.0,110.53,110.8
07/09/18,13954810.0,187.79,187.95,183.54,16543880.0,185.26,186.41,184.28,17426160.0,185.42,188.43,185.2,189.5
09/26/2016,35951900.0,113.85,113.99,112.44,31048170.0,114.35,114.94,114.0,52411070.0,114.42,114.79,111.55,111.64
05/01/20,28001190.0,285.08,285.83,278.2,34320200.0,284.73,289.67,283.89,45765970.0,289.96,294.53,288.35,286.25
10/16/2018,52902320.0,214.52,219.5,212.32,39494770.0,220.42,222.88,216.84,30280450.0,221.16,221.83,217.27,218.93
02/11/16,53920550.0,93.13,95.7,93.04,44282560.0,94.29,95.94,93.93,42288790.0,95.92,96.35,94.1,93.79
08/29/2018,18457720.0,216.6,216.9,215.11,20400770.0,217.15,218.74,216.33,22751390.0,219.01,220.54,218.92,220.15
12/15/2017,19088170.0,172.15,172.39,171.46,23402510.0,172.5,173.54,172.0,20442740.0,172.4,173.13,171.65,173.63
08/08/18,33408050.0,207.03,208.74,205.48,25396100.0,208.0,209.25,207.07,25525650.0,209.32,209.5,206.76,206.05
10/10/19,30889270.0,226.27,229.93,225.84,29282700.0,225.82,228.06,224.33,19029420.0,227.03,227.79,225.64,227.93
10/02/15,73230280.0,112.83,113.51,107.86,66300930.0,110.17,111.54,108.73,63849470.0,109.07,109.62,107.31,108.01
08/29/2016,23606240.0,108.57,108.75,107.68,25001730.0,107.39,107.88,106.68,27744300.0,107.41,107.95,106.31,106.62
07/08/19,16935220.0,201.41,203.13,201.36,11362050.0,203.28,204.44,202.69,17265520.0,203.35,205.08,202.9,200.81
04/25/2016,30576980.0,106.64,108.09,106.06,31416910.0,106.93,106.93,105.52,33655810.0,105.01,106.48,104.62,105.0
01/03/17,20686510.0,117.52,118.02,116.2,14979680.0,116.45,117.11,116.4,30555900.0,116.65,117.2,115.43,115.8
01/29/2016,71937310.0,99.93,100.88,98.07,133059000.0,96.04,96.63,93.34,55622370.0,93.79,94.52,92.39,94.79
04/14/2020,42223820.0,262.74,267.37,261.23,40529120.0,268.7,270.07,264.7,32755730.0,268.31,273.7,265.83,280.0
05/30/2019,23714690.0,180.2,182.14,178.62,27948160.0,178.92,180.59,177.91,28481170.0,176.42,179.35,176.0,177.95
06/16/2020,50415610.0,349.31,351.06,335.48,50036510.0,344.72,347.8,334.22,34702230.0,333.25,345.68,332.58,351.46
09/20/2016,90398170.0,113.86,115.73,113.49,79763890.0,115.12,116.13,114.04,46937190.0,115.19,116.18,113.25,113.05
08/21/2019,28813620.0,204.28,207.16,203.84,24431920.0,210.62,212.73,210.03,26919530.0,210.88,213.35,210.32,212.99
03/15/2017,19578920.0,139.25,139.36,138.64,17048800.0,138.85,139.43,138.82,15281850.0,139.3,139.65,138.84,139.41
06/15/2020,41662940.0,347.9,354.77,346.09,50415610.0,349.31,351.06,335.48,50036510.0,344.72,347.8,334.22,333.25
11/20/2015,27584020.0,114.92,115.05,113.32,46559730.0,115.76,117.49,115.5,43233950.0,117.64,119.75,116.76,119.2
03/25/2020,100423300.0,247.18,251.83,228.0,84188210.0,228.08,228.5,212.61,71882770.0,236.36,247.69,234.3,250.75
09/30/2019,22481010.0,218.55,221.5,217.14,19088310.0,220.0,220.94,218.83,25361290.0,220.54,220.96,217.28,220.9
12/29/2017,33113340.0,170.8,171.47,169.68,21477380.0,170.1,170.78,169.71,16412270.0,171.0,171.85,170.48,170.52
03/06/18,48706170.0,178.54,179.78,172.66,38426060.0,172.8,176.3,172.45,27825140.0,175.21,177.74,174.52,177.91
03/07/16,33136130.0,100.51,100.89,99.64,36884490.0,100.58,101.71,100.45,46026600.0,102.37,103.75,101.37,102.39
07/01/16,40387960.0,92.9,93.66,92.14,36505420.0,93.97,94.55,93.63,35783320.0,94.44,95.77,94.3,95.49
05/02/16,114436300.0,96.0,98.71,95.68,82107120.0,97.61,97.88,94.25,68388840.0,93.99,94.72,92.51,93.97
11/19/2018,60547340.0,193.9,194.48,185.93,46271660.0,188.39,191.97,186.9,36191330.0,190.5,194.97,189.46,190.0
06/07/17,27715140.0,153.58,155.45,152.89,25277680.0,154.34,154.45,153.46,26591850.0,153.9,155.81,153.78,155.02
04/24/2017,17302160.0,141.88,142.0,140.45,23294040.0,141.22,142.92,141.16,17290900.0,142.44,142.68,141.85,143.5
12/24/2015,47507230.0,107.28,107.37,105.57,32728460.0,107.4,107.72,106.45,32618140.0,107.27,108.85,107.2,109.0
05/15/2019,41208710.0,197.42,198.85,192.77,57430620.0,187.71,189.48,182.85,36529680.0,186.41,189.7,185.41,186.27
03/28/2019,43751810.0,191.51,191.98,186.6,49696100.0,191.66,192.88,184.58,29771210.0,188.75,189.76,186.55,188.95
03/23/2016,43607120.0,106.34,106.5,105.19,35454230.0,105.93,107.65,105.14,32345430.0,105.25,107.29,105.21,106.48
08/17/2017,22074760.0,159.32,160.21,158.75,29377630.0,160.66,162.2,160.14,27607370.0,161.94,162.51,160.15,160.52
04/30/2018,28331540.0,162.62,165.42,162.41,27850370.0,164.12,165.73,163.37,35617230.0,164.0,164.33,160.63,162.13
04/03/19,23524830.0,189.83,190.08,188.54,27308200.0,191.64,191.68,188.38,22727370.0,191.09,194.46,191.05,193.25
04/21/2020,39281290.0,287.38,288.2,282.35,53812480.0,284.69,286.95,276.86,32503750.0,277.95,281.68,276.85,276.28
03/13/2017,18695500.0,138.95,139.8,138.82,22117750.0,138.74,138.79,137.05,19578920.0,139.25,139.36,138.64,138.85
11/14/2017,29422610.0,175.11,176.1,173.14,25129510.0,175.11,175.38,174.27,16956290.0,173.5,174.5,173.4,173.04
05/21/2018,19046600.0,186.07,188.46,186.0,17014490.0,188.0,188.91,186.36,18083080.0,187.19,187.81,186.13,188.0
08/07/17,69726440.0,159.28,159.75,156.16,26604140.0,157.05,157.21,155.02,20514810.0,156.07,157.4,155.69,157.06
03/14/2018,32130360.0,177.96,180.0,177.39,32191070.0,180.29,182.39,180.21,31464170.0,182.59,183.5,179.24,180.32
05/20/2016,46858910.0,94.55,94.7,93.01,42009830.0,94.16,95.21,93.89,30417880.0,94.64,94.64,93.57,94.64
09/22/2016,46937190.0,115.19,116.18,113.25,34494150.0,113.05,114.12,112.51,35951900.0,113.85,113.99,112.44,114.35
03/24/2016,35454230.0,105.93,107.65,105.14,32345430.0,105.25,107.29,105.21,25686350.0,106.48,107.07,105.9,105.47
12/23/2015,96197190.0,108.91,109.52,105.81,47507230.0,107.28,107.37,105.57,32728460.0,107.4,107.72,106.45,107.27
03/19/2020,80605870.0,241.95,259.08,240.0,81013970.0,247.51,257.61,238.4,75058410.0,239.77,250.0,237.12,247.39
06/14/2017,64782910.0,155.19,155.19,146.02,72187710.0,145.74,146.09,142.51,34089190.0,147.16,147.45,145.15,147.5
03/27/2017,25804820.0,139.85,141.6,139.76,20299310.0,141.26,141.58,140.61,22355140.0,141.5,141.74,140.35,139.39
01/24/2017,25554290.0,119.4,120.09,119.37,29922650.0,120.45,120.45,119.73,21982000.0,120.0,120.81,119.77,119.55
05/08/20,36937800.0,295.06,301.0,294.46,35583440.0,300.46,303.24,298.87,28803760.0,303.22,305.17,301.97,305.64
04/01/16,31154910.0,104.89,107.79,104.88,45547590.0,108.65,110.42,108.6,25763840.0,109.72,109.9,108.88,108.78
04/26/2018,36396590.0,166.84,166.92,164.09,33674960.0,165.67,166.33,161.22,28331540.0,162.62,165.42,162.41,164.12
09/28/2017,44366140.0,149.99,151.83,149.16,35907770.0,151.78,153.92,151.69,25402270.0,153.8,154.72,153.54,153.89
08/17/2016,18648700.0,107.78,108.44,107.78,25704330.0,108.14,109.54,108.08,33754680.0,109.63,110.23,109.21,109.1
03/09/18,23273160.0,177.91,178.25,176.13,31686450.0,174.94,175.85,174.27,24518850.0,175.48,177.12,175.07,177.96
09/08/16,26393770.0,107.7,108.0,106.82,26645130.0,107.9,108.3,107.51,42250480.0,107.83,108.76,107.07,107.25
08/28/2019,46882840.0,209.43,212.05,201.0,26066130.0,205.86,207.19,205.06,25897340.0,207.86,208.55,203.53,204.1
10/29/2019,17916260.0,244.51,244.8,241.81,18369300.0,243.16,246.73,242.88,24143240.0,247.42,249.25,246.72,248.97
11/10/17,24332120.0,173.91,175.25,173.6,24358920.0,174.66,176.24,174.33,29422610.0,175.11,176.1,173.14,175.11
10/01/19,19088310.0,220.0,220.94,218.83,25361290.0,220.54,220.96,217.28,26318580.0,220.9,224.58,220.79,225.07
09/29/2017,35907770.0,151.78,153.92,151.69,25402270.0,153.8,154.72,153.54,21983410.0,153.89,154.28,152.7,153.21
12/13/2019,22632380.0,268.6,270.07,265.86,19723390.0,268.81,271.1,268.5,34437040.0,267.78,272.56,267.32,271.46
02/14/2020,23580780.0,323.6,323.9,318.71,28432570.0,321.47,327.22,321.47,23686890.0,324.19,326.22,323.35,324.74
12/10/18,41141250.0,180.95,182.39,176.27,42704910.0,171.76,174.78,170.42,41678680.0,173.49,174.49,168.3,165.0
07/27/2015,115288400.0,121.99,125.5,121.99,50832950.0,126.2,127.09,125.06,42090320.0,125.32,125.74,123.9,123.09
05/02/18,35617230.0,164.0,164.33,160.63,41976500.0,162.13,167.26,161.84,52228910.0,166.41,169.2,165.27,175.23
11/10/16,32361930.0,110.08,110.51,109.46,24129630.0,110.31,111.72,109.7,59118740.0,109.88,111.32,108.05,111.09
01/18/2019,28449940.0,150.27,153.39,150.05,30483120.0,153.08,155.88,153.0,29616190.0,154.2,157.66,153.26,157.5
02/24/2017,24487200.0,136.23,136.75,135.98,20769030.0,136.43,137.12,136.11,20762360.0,137.38,137.48,136.3,135.91
10/29/2015,66139770.0,118.08,118.13,114.92,67673450.0,115.4,116.54,113.99,85436210.0,116.93,119.3,116.06,118.7
06/17/2016,31890740.0,97.32,98.48,96.75,29373050.0,97.82,98.41,97.03,31251870.0,96.45,97.75,96.07,96.62
08/09/19,35824790.0,196.31,198.07,194.04,33364400.0,195.41,199.56,193.82,27009520.0,200.2,203.53,199.39,201.3
07/07/16,25982080.0,95.49,96.47,95.33,27553750.0,95.39,95.4,94.46,30877540.0,94.6,95.66,94.37,95.7
08/28/2015,102731700.0,111.11,111.11,103.5,96531890.0,107.09,109.89,105.05,83825220.0,112.23,113.24,110.02,112.17
01/25/2019,30273990.0,156.41,156.73,152.62,23046560.0,154.15,155.14,151.7,25418110.0,154.11,154.48,151.74,155.48
06/24/2016,35407050.0,94.94,96.35,94.68,29124140.0,96.25,96.89,95.35,32042290.0,95.94,96.29,95.25,92.91
03/12/20,71686210.0,263.75,278.09,263.0,71322520.0,277.14,286.44,269.37,64094970.0,277.39,281.22,271.86,255.94
02/07/19,31384720.0,167.41,171.66,167.28,36054570.0,172.86,175.08,172.35,28204640.0,174.65,175.57,172.85,172.4
02/27/2019,18890250.0,171.58,173.0,171.38,21846400.0,174.16,175.87,173.95,16991610.0,173.71,175.3,173.17,173.21
05/20/2020,41587090.0,300.35,307.9,300.21,33843130.0,313.17,316.5,310.32,25432390.0,315.03,318.52,313.01,316.68
02/20/2019,21785180.0,169.71,171.26,169.38,24603320.0,171.25,171.7,169.75,18958570.0,169.71,171.44,169.49,171.19
02/15/2018,60774900.0,158.5,163.89,157.51,32483310.0,161.95,164.75,161.65,40382890.0,163.05,167.54,162.88,169.79
04/18/2016,32771760.0,110.8,112.34,110.8,25364920.0,111.62,112.39,111.33,46873670.0,112.11,112.3,109.73,108.89
12/05/16,36151450.0,111.6,112.2,110.27,37034520.0,110.37,110.94,109.03,26481320.0,109.17,110.09,108.85,110.0
10/08/18,28540490.0,230.05,233.47,229.78,31961120.0,230.78,232.35,226.73,33507770.0,227.96,228.41,220.58,222.21
